Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance
Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm
,10 K,,50 K,,100 K,,150 K,,150 K,,160 K,,170 K,,180 K,,190 K,,200 K
-30000.12890625,-22.00535,-30000.326171875,-33.04184,-30000.193359375,-44.39186,-30000.369140625,-60.64584,-30000.259765625,-65.10511,-30000.3359375,-67.18899,-30000.193359375,-72.13385,-30000.314453125,-76.02049,-30000.3359375,-80.14739,-30000.29296875,-83.91006
-30000.138671875,-22.01144,-30000.3359375,-33.0507,-30000.23828125,-44.48656,-30000.326171875,-60.75227,-30000.216796875,-65.09949,-30000.28125,-67.24405,-30000.150390625,-72.1825,-30000.326171875,-76.09426,-30000.3359375,-80.22111,-30000.28125,-83.95826
-30000.138671875,-22.01649,-30000.314453125,-33.06949,-30000.23828125,-44.58527,-30000.369140625,-60.8325,-30000.216796875,-65.14347,-30000.314453125,-67.29859,-30000.138671875,-72.20855,-30000.314453125,-76.14295,-30000.28125,-80.31326,-30000.29296875,-84.05546
-30000.138671875,-22.02716,-30000.28125,-33.08452,-30000.171875,-44.65956,-30000.369140625,-60.91014,-30000.18359375,-65.18121,-30000.28125,-67.3399,-30000.162109375,-72.24979,-30000.314453125,-76.2398,-30000.302734375,-80.35871,-30000.271484375,-84.07043
-29000.189453125,-22.14409,-29000.375,-33.1296,-29000.36328125,-45.33382,-29000.30859375,-61.81516,-29000.4296875,-65.21912,-29000.189453125,-67.98526,-29000.396484375,-72.84998,-29000.220703125,-76.87916,-29000.25390625,-81.29094,-29000.330078125,-84.8616
-29000.189453125,-22.14706,-29000.375,-33.1422,-29000.396484375,-45.41248,-29000.265625,-61.79755,-29000.41796875,-65.23679,-29000.2109375,-68.06541,-29000.341796875,-72.93794,-29000.244140625,-76.89132,-29000.19921875,-81.32906,-29000.341796875,-84.91554
-29000.15625,-22.15171,-29000.396484375,-33.15377,-29000.330078125,-45.45828,-29000.244140625,-61.60181,-29000.41796875,-65.24706,-29000.189453125,-68.11214,-29000.341796875,-72.95055,-29000.19921875,-76.94501,-29000.2109375,-81.37885,-29000.341796875,-85.04709
-29000.177734375,-22.16271,-29000.341796875,-33.15212,-29000.375,-45.52537,-29000.265625,-61.56138,-29000.451171875,-65.26107,-29000.220703125,-68.16236,-29000.41796875,-72.98309,-29000.244140625,-76.94276,-29000.2109375,-81.48649,-29000.3203125,-85.09972
